=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.04.09 16:10:48 =~=~=~=~=~=~=~=~=~=~=~=
Tem3,Setpoint:95.50,Temperature:46.44,Duty:100.00,
Time:0:0:7,Ideal:65.14,Setpoint:95.50,Temperature:66.27,Duty:100.00,
Time:0:0:7,Ideal:65.14,Setpoint:95.50,Temperature:66.38,Duty:100.00,
Time:0:0:8,Ideal:67.14,Setpoint:95.50,Temperature:66.55,Duty:100.00,
Time:0:0:8,Ideal:67.14,Setpoint:95.50,Temperature:66.69,Duty:100.00,
Time:0:0:8,Ideal:67.14,Setpoint:95.50,Temperature:66.82,Duty:100.00,
Time:0:0:8,Ideal:67.14,Setpoint:95.50,Temperature:66.99,Duty:100.00,
Time:0:0:8,Ideal:67.14,Setpoint:95.50,Temperature:67.10,Duty:100.00,
Time:0:0:8,Ideal:67.14,Setpoint:95.50,Temperature:67.20,Duty:100.00,
Time:0:0:8,Ideal:67.14,Setpoint:95.50,Temperature:67.37,Duty:100.00,
Time:0:0:8,Ideal:67.14,Setpoint:95.50,Temperature:67.47,Duty:100.00,
Time:0:0:8,Ideal:67.14,Setpoint:95.50,Temperature:67.64,Duty:100.00,
Time:0:0:8,Ideal:67.14,Setpoint:95.50,Temperature:67.75,Duty:100.00,
Time:0:0:8,Ideal:67.14,Setpoint:95.50,Temperature:67.92,Duty:100.00,
Time:0:0:9,Ideal:69.14,Setpoint:95.50,Temperature:68.06,Duty:100.00,
Time:0:0:9,Ideal:69.14,Setpoint:95.50,Temperature:68.16,Duty:100.00,
Time:0:0:9,Ideal:69.14,Setpoint:95.50,Temperature:68.33,Duty:100.00,
Time:0:0:9,Ideal:69.14,Setpoint:95.50,Temperature:68.43,Duty:100.00,
Time:0:0:9,Ideal:69.14,Setpoint:95.50,Temperature:68.57,Duty:100.00,
Time:0:0:9,Ideal:69.14,Setpoint:95.50,Temperature:68.71,Duty:100.00,
Time:0:0:9,Ideal:69.14,Setpoint:95.50,Temperature:68.84,Duty:100.00,
Time:0:0:9,Ideal:69.14,Setpoint:95.50,Temperature:68.95,Duty:100.00,
Time:0:0:9,Ideal:69.14,Setpoint:95.50,Temperature:69.12,Duty:100.00,
Time:0:0:9,Ideal:69.14,Setpoint:95.50,Temperature:69.19,Duty:100.00,
Time:0:0:9,Ideal:69.14,Setpoint:95.50,Temperature:69.36,Duty:100.00,
Time:0:0:10,Ideal:71.14,Setpoint:95.50,Temperature:69.50,Duty:100.00,
Time:0:0:10,Ideal:71.14,Setpoint:95.50,Temperature:69.63,Duty:100.00,
Time:0:0:10,Ideal:71.14,Setpoint:95.50,Temperature:69.77,Duty:100.00,
Time:0:0:10,Ideal:71.14,Setpoint:95.50,Temperature:69.87,Duty:100.00,
Time:0:0:10,Ideal:71.14,Setpoint:95.50,Temperature:69.94,Duty:100.00,
Time:0:0:10,Ideal:71.14,Setpoint:95.50,Temperature:70.11,Duty:100.00,
